Context;Doc Cont;Query Count;Answer
;documento_152_100.10.001.docx;4;"As principais disposições incluídas no projeto de regulamento (apresentado pela Direção-Geral da Política de Justiça) sobre a mediação judicial são, conforme o documento selecionado:

Definição do objeto do regulamento: alteração do regime jurídico da mediação familiar (clarificação do âmbito e finalidade).
Princípios orientadores da mediação familiar: confidencialidade, imparcialidade e voluntariedade das partes.
Regras sobre formação e certificação dos mediadores: requisitos mínimos de qualificação e regulamentação da formação.
Medidas para facilitar o acesso à mediação: incentivos financeiros e logísticos, possibilidade de apoio estatal para promover a utilização da mediação antes de recorrer aos tribunais.
Procedimentos e artigos organizados (artigos exemplares mencionados no documento, como Artigo 1.º — objeto; Artigo 2.º — princípios; Artigo 3.º — formação; Artigo 4.º — acesso).
Pedido de apreciação parlamentar e pedido de parecer jurídico sobre conformidade com a legislação e articulação com o direito comunitário, com menção especial à proteção dos direitos das crianças."
;documento_499_100.1003.docx;1;O parecer do Ministério dos Negócios Estrangeiros foi elaborado em 10 de março de 2024.
;;4;". Não há, no índice consultado, nenhum documento que contenha explicitamente a ""Norma Técnica n.º 45/2023"" com as diretrizes de recrutamento e seleção de servidores."
;documento_916_100.10.01.docx;2;"Principais alterações propostas (resumo direto)

Redução de prazos: diminuir os prazos para a prática de atos administrativos, com objetivo de aumentar a celeridade na resposta a cidadãos e empresas.
Digitalização de processos: implementação de um sistema digital para tramitação de processos administrativos, incluindo acompanhamento em tempo real pelos interessados.
Simplificação de formulários: revisão e simplificação dos formulários usados nos procedimentos administrativos para torná?los mais adequados aos utentes.
Apoio ao cidadão: criação de um serviço de apoio ao cidadão (linha telefónica e portal na internet) para esclarecimento de dúvidas e orientação sobre procedimentos.
Procedimento legislativo e participação pública: as propostas foram redigidas em projeto de lei, a submeter ao Conselho de Ministros, e prevê?se a divulgação em plataforma digital para recolha de sugestões até 30 de Novembro de 2023."
;documento_124_100.APR.docx;1;Aprovação de Projeto de Lei Municipal.
;documento_410_100.20.001.docx;4;Portanto não posso afirmar qual é essa interpretação com base nos dados que tenho acesso aqui.
;documento_497_100.20.400.docx;;a interpretação do Departamento destaca obrigação ativa do empregador (treino, avaliação de risco, recursos), a necessidade de avaliações específicas e participativas, a utilização das orientações anexas e a integração com NRs e referências da OIT, além de documentação, divulgação e acompanhamento para assegurar conformidade.
;documento_735_100.10.003.docx;2;"O documento mais relevante que encontrei é o Documento Gerado #735 (path:documento_735_100.10.003.docx) e nele é solicitado ""a confirmação da receção desta comunicação no prazo de cinco dias úteis."" Portanto, o prazo estabelecido para efeitos de cumprimento indicado nesse documento é de cinco dias úteis."
;documento_594_100.10.5.docx;1;"os tópicos discutidos na reunião/documento sobre o Projeto de Urbanização da Rua das Flores (data do documento: 15 de outubro de 2023, referente ao processo do projeto) foram:

Aprovação do Projeto de Reabilitação Urbana para a Rua das Flores (nº 45).
Verificação de conformidade com a Lei n.º 31/2014 e com o Plano Diretor Municipal.
Intervenções previstas:
Reabilitação da fachada do edifício na Rua das Flores, nº 45.
Criação de espaços verdes e áreas de lazer nas imediações.
Melhoria das condições de acessibilidade para pessoas com mobilidade reduzida.
Determinações administrativas:
Aprovação do projeto pela Comissão Municipal de Urbanismo.
Prazo de início dos trabalhos (60 dias após notificação).
Obrigatoriedade de cumprimento das condições e requisitos pelos serviços de fiscalização, com aplicação de sanções em caso de incumprimento."
O parecer da Direção-Geral de Assuntos Políticos e de Segurança, datado de 5 de setembro de 2023…;documento_843_100.10002.docx;2;Portugal solicitou parecer ao Ministério dos Negócios Estrangeiros em 5 de setembro de 2023
